"PROVINCIA";"TIPOLOXÍA";"NOME";"ENDEREZO";"LOCALIDADE";"CONCELLO";"CÓDIGO POSTAL";"TELÉFONO";"FAX";"COORDENADAS";"PORTAL WEB";"ENDEREZO WEB 2";"CORREO ELECTRÓNICO";"NIDEN";"ACCESO AO CATÁLOGO";"INFORMACIÓN ADICIONAL";"TITULARIDADE";"INSTITUCIÓN TTULAR";"ORGANISMO XESTOR";"ACCESO";"ESTADO";"SITUACIÓN ADMINISTRATIVA NA RBG"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal Casa da Cultura";"Casa da Cultura. A Carballa s/n";"Cabana de Bergantiños";"Cabana de Bergantiños";"15115";"981714416";"981754229";"43.2207112,-8.958765";"";"";"bibliotecabana@yahoo.es/canduas.cabana.rbgalicia@eidolocal.es";"1502322-361";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Bergantiños";"Concello de Bergantiños";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal María Baña";"Praza de Neaño, s/n";"Cabana de Bergantiños";"Cabana de Bergantiños";"15115";"981714416";"981754229";"43.2264,-8.91146";"";"";"bibliotecabana@yahoo.es/cabana.rbgalicia@eidolocal.es";"1502322-239";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello Cabana de Bergantiños";"Concello Cabana de Bergantiños";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de  Camariñas";"Praza da Insuela, 31";"Camariñas";"Camariñas";"15123";"981737234";"";"43.1302,-9.18058";"";"";"anamaria.martinez@camarinas.net/camarinas.rbgalicia@eidolocal.es";"1502473-343";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Camariñas";"Concello de Camariñas";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Municipal Central de Cambre";"Agra de Samosteiro, 4 - 8";"Cambre";"Cambre";"15660";"981675109";"981675969(Concello)";"43.2913129,-8.344081";"";"";"bibliotecacambre@cambre.org/angelesroca@cambre.org/cambre.rbgalicia@eidolocal.es";"1500113-143";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Cambre";"Concello de Cambre";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Publica Municipal Xabier P. Docampo";"Río Gándara, 6 - Baixo (Urb. A Barcala)";"Cambre";"Cambre";"15660";"981665236";"";"43.3056496,-8.354529";"";"";"bibliotecaxabierdc@cambre.org/abarcala.cambre.rbgalicia@eidolocal.es";"1500113-129";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Cambre";"Concello de Cambre";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Os Templarios";"Rúa dos Templarios, 9-A";"Temple, O";"Cambre";"15679";"981661458";"981675969(Concello)";"43.3140572,-8.3589105";"";"";"bibliotecaostemplarios@cambre.org/temple.cambre.rbgalicia@eidolocal.es";"1500113-178";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Cambre";"Concello de Cambre";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal da Capela";"As Neves, 71-73";"Capela, A";"Capela, A";"15613";"981459540/981459006";"981459371";"43.4359544,-8.0671360";"";"";"biblioteca.dacapela@gmail.com/acapela.rbgalicia@eidolocal.es";"1500128-292";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello da Capela";"Concello da Capela";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Carballo";"San Xoan Bautista, s/n";"Carballo";"Carballo";"15100";"981704041/9817047";"981702858";"43.2112027,-8.6901389";"";"";"carballo.rbgalicia@eidolocal.es";"1500134-118";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Carballo";"Concello de Carballo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Rego da Balsa";"Rúa Bos Aires, s/n";"Carballo";"Carballo";"15100";"981758580";"";"43.2149368,-8.6933910";"";"";"biblioteca@carballo.gal";"1500134-12533";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Carballo";"Concello de Carballo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Cariño";"Casa da Cultura. Paseo Marítimo, s/n";"Cariño";"Cariño";"15360";"981420216";"981420216";"43.7373,-7.8726";"";"";"biblioteca@concellodecarino.gal/carino.rbgalicia@eidolocal.es";"1500823-294";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Cariño";"Concello de Cariño";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Carnota";"Praza de San Gregorio, s/n";"Carnota";"Carnota";"15293";"981857032";"981857251";"42.8215,-9.0876";"";"";"luisa.beiro@carnota.gal";"1500149-179";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Carnota";"Concello de Carnota";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Carral";"Rúa de Paleo, 17";"Carral";"Carral";"15175";"981672580";"981672581";"43.2287,-8.36032";"";"";"biblioteca@carral.es/carral.rbgalicia@eidolocal.es";"1500152-180";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Carral";"Concello de Carral";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal López Cortón";"Rúa do Cristo, 1";"Cedeira";"Cedeira";"15350";"981482897";"";"43.6598,-8.05782";"";"";"cedeira.rbgalicia@eidolocal.es";"1500165-127";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Cedeira";"Concello de Cedeira";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Ameixenda";"A Igrexa, s/n";"Ameixenda";"Cee";"15298";"981706485";"";"42.9313881,-9.163405";"";"";"ameixenda.cee.rbgalicia@eidolocal.es";"1500187-367";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Cee";"Concello de Cee";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Brens";"A Grixa";"Brens";"Cee";"15299";"981745100";"981746757";"42.952,-9.17181";"";"";"teolamela@hotmail.com";"1500187-295";"";"";"Pública";"Concello de Cee";"Concello de Cee";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Franciso Mayán";"Casa da Cultura. Paseo do Alcalde Pepe Sánchez, 9-C 3º andar";"Cee";"Cee";"15270";"981745100";"981746757";"42.953045,-9.1912231";"";"";"cee.rbgalicia@eidolocal.es";"1500187-181";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Cee";"Concello de Cee";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal da Silva";"Rúa Celso Emilio Ferreiro, s/n";"A Silva-Rodís";"Cerceda";"15186";"981692588";"";"43.1553,-8.56787";"";"";"bibliosilva.1@gmail.com/asilva.cerceda.rbgalicia@eidolocal.es";"1500190-296";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Cerceda";"Concello de Cerceda";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Cerceda";"Campo da Feira, 74";"Cerceda";"Cerceda";"15185";"981685253";"981685253";"43.1903,-8.47257";"";"";"biblicer@yahoo.es/daniel.barreiro@cerceda.es/cerceda.rbgalicia@eidolocal.es";"1500190-182";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Cerceda";"Concello de Cerceda";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Coirós";"Coirós de Arriba, 55 - A ";"Coirós";"Coirós";"15316";"981796088";"981796256";"43.251133,-8.166631";"";"";"biblio@coiros.es/coiros.rbgalicia@eidolocal.es";"1502087-299";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Coirós";"Concello de Coirós";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Corcubión";"Rúa Vicente Fraguela, 14";"Corcubión";"Corcubión";"15130";"981746190";"";"42.9457,-9.19433";"http://bibliocorcu.blogspot.com.es/";"";"bibliocorcu@yahoo.es/corcubion.rbgalicia@eidolocal.es";"1502527-183";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Corcubión";"Concello de Corcubión";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Coristanco";"Rúa da Pataca s/n";"San Roque";"Coristanco";"15147";"981733280";"981734312";"43.1872,-8.7376";"";"";"coristanco.rbgalicia@eidolocal.es";"1500759-2266";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Coristanco";"Concello de Coristanco";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca da Deputación Provincial da Coruña";"Rúa Riego de Agua, 37";"A Coruña";"Coruña, A";"15001";"981080342";"981080344";"43.370475, -8.398400";"http://deputaciondacoruna.tubiblioweb.com";"";"biblioteca.arquivo@dacoruna.gal/biblioteca.info@dacoruna.gal";"1502150-412";"";"";"Pública";"Deputación Provincial da Coruña";"Deputación Provincial da Coruña";"Público";"Aberta";""
"A Coruña";"Biblioteca Pública";"Biblioteca  Municipal Castrillón";"Praza Pablo Iglesias, s/n";"Coruña, A";"Coruña, A";"15009";"981184390";"981184391";"43.3479,-8.39766";"http://www.coruna.es/servlet/ContentServer?argIdioma=gl&c=Page&pagename=Bibliotecas20%2FPage%2FGenerico-Page-Generica&cid=1394072319081";"";"bcastrillon@coruna.es/b.solleiro@coruna.es";"1500703-350";"https://coruna.es/opacnet";"";"Pública";"Concello da Coruña";"Concello da Coruña";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Municipal Ágora";"Lugar Gramela, 17";"Coruña, A";"Coruña, A";"15010";"981189886";"";"43.3624,-8.4271";"http://www.coruna.es/bibliotecas";"";"bagora@coruna.es";"1500703-11748";"https://coruna.es/opacnet";"";"Pública";"Concello da Coruña";"Concello da Coruña";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Municipal Fórum Metropolitano";"Rúa Río Monelos, 1";"Coruña, A";"Coruña, A";"15006";"981184298";"981184295";"43.3556,-8.40006";"http://www.coruna.es/servlet/ContentServer?argIdioma=gl&c=Page&pagename=Bibliotecas20%2FPage%2FGenerico-Page-Generica&cid=1394503953372";"";"bforum@coruna.es/m.conchado@coruna.es";"1500703-349";"https://coruna.es/opacnet";"";"Pública";"Concello da Coruña";"Concello da Coruña";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Municipal Infantil e Xuvenil ";"Rúa Durán Loriga, 10 - Baixo";"Coruña, A";"Coruña, A";"15003";"981184388";"981184385";"43.3677,-8.40484";"http://www.coruna.es/servlet/ContentServer?argIdioma=gl&c=Page&pagename=Bibliotecas20%2FPage%2FGenerico-Page-Generica&cid=1394503949789";"";"binfantil@coruna.es/m.cerdeiras@coruna.es";"1500703-348";"https://coruna.es/opacnet";"";"Pública";"Concello da Coruña";"Concello da Coruña";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Municipal Monte Alto";"Rúa Vereda del Polvorín, 2 - 3º";"Coruña, A";"Coruña, A";"15002";"981184382";"981184383";"43.3779924,-8.4003748";"http://www.coruna.es/servlet/ContentServer?argIdioma=gl&c=Page&pagename=Bibliotecas20%2FPage%2FGenerico-Page-Generica&cid=1394503998165";"";"bmontealto@coruna.es/j.teijo@coruna.es";"1500703-359";"https://coruna.es/opacnet";"";"Pública";"Concello da Coruña";"Concello da Coruña";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Municipal Os Rosales";"Praza Elíptica, 1";"Coruña, A";"Coruña, A";"15011";"981184389";"981184351";"43.3708731,-8.432131";"http://www.coruna.es/servlet/ContentServer?argIdioma=gl&c=Page&pagename=Bibliotecas20%2FPage%2FGenerico-Page-Generica&cid=1394504011760";"";"brosales@coruna.es/mc.riveiro@coruna.es";"1500703-10681";"https://coruna.es/opacnet";"";"Pública";"Concello de A Coruña";"Concello de A Coruña";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Municipal Sagrada Familia";"Antonio Pereira, 1 - 3 - Baixo";"Coruña, A";"Coruña, A";"15007";"981184392";"981184393";"43.3578,-8.41746";"http://www.coruna.es/servlet/Satellite?argIdioma=gl&c=Page&pagename=Bibliotecas20%2FPage%2FGenerico-Page-Generica&cid=1394590566232";"";"bsagradaf@coruna.es";"1500703-302";"https://coruna.es/opacnet";"";"Pública";"Concello da Coruña";"Concello da Coruña";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública xestionada pola Consellería de Cultura e Turismo";"Biblioteca Pública da Coruña Miguel González Garcés";"Rúa Miguel González Garcés, 1";"Coruña, A";"Coruña, A";"15008";"881960380";"881960378";"43.348274,-8.40518";"https://bibliotecas.xunta.gal/coruna/gl";"";"bpc@xunta.gal";"1500553-6549";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Ministerio de Educación, Cultura y Deporte";"Consellería de Cultura e Turismo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Servicio Municipal de Bibliotecas";"Rúa Durán Loriga, 10 - 1º";"Coruña, A";"Coruña, A";"15003";"981184384";"981184385";"";"http://www.coruna.es/servlet/ContentServer?argIdioma=gl&c=Page&pagename=Bibliotecas20%2FPage%2FGenerico-Page-Generica&cid=1394676964496";"";"smb@coruna.es";"UA (1500703)";"https://coruna.es/opacnet";"";"Pública";"Concello da Coruña";"Concello da Coruña";"Restrinxido";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal Miguel González Garcés";"Ramón Cabanillas, 14";"O Burgo";"Culleredo";"15670";"981665597";"981661748";"43.318387,-8.371217";"";"";"bibliotecas.municipais@culleredo.es/culleredo.rbgalicia@eidolocal.es";"1500648-161";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Culleredo";"Concello de Culleredo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal Xosé Caderso Liñares";"Avenida de Vilaboa, 44 (Vila Melania)";"Vilaboa";"Culleredo";"15174";"981650077";"981661748";"43.3113230,-8.3824700";"";"";"vilaboa.culleredo.rbgalicia@eidolocal.es/bibliotecas.municipais@culleredo.es";"1500648-119";"https://catalogo-rbgalicia.xunta.gal/";"";"Pública";"Concello de Culleredo";"Concello de Culleredo";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Teixeiro";"Avenida Calvo Sotelo, 23";"Teixeiro";"Curtis";"15310";"981789766";"981789578";"43.1425,-8.03967";"";"";"curtis.rbgalicia@eidolocal.es";"1502684-26";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Curtis";"Concello de Curtis";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Biblioteca Pública";"Biblioteca Pública Municipal de Dodro";"Pza. dos Emigrantes, 28";"Tallós";"Dodro";"15981";"981802472";"";"42.7159,-8.70348";"";"";"biblioteca@concellodedodro.org/dodro.rbgalicia@eidolocal.es";"1501783-303";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Dodro";"Concello de Dodro";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Berdeogas";"Vacariza, 2A";"Berdeogas";"Dumbría";"15151";"981744001";"981744031";"43.0302,-9.10635";"";"";"dumbria.rbgalicia@eidolocal.es/bibliotecasdedumbria@hotmail.com";"1502489-187";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Dumbría";"Concello de Dumbría";"Público";"Aberta";"Rexistrada e integrada"
"A Coruña";"Axencia de Lectura";"Axencia de Lectura Municipal de Buxantes";"Igrexa, s/n";"Buxantes";"Dumbría";"15151";"981744001";"981744031";"42.9738,-9.11778";"";"";"dumbria.rbgalicia@eidolocal.es/bibliotecasdedumbria@hotmail.com";"1502489-371";"http://www.opacmeiga.rbgalicia.org/";"";"Pública";"Concello de Dumbría";"Concello de Dumbría";"Público";"Aberta";"Rexistrada e integrada"
